iter	RMSE
0	4918.974009
1	3393.178156
2	2807.672914
3	2583.591305
4	2471.754678
5	2443.224994
6	2426.038812
7	2423.896228
8	2411.27287
9	2358.713226
10	2357.404464
11	2357.217386
12	2353.436367
13	2327.462288
14	2327.22629
15	2309.16454
16	2309.027789
17	2309.027543
18	2309.027538
19	2309.027536
20	2308.815036
21	2308.74177
22	2308.73132
23	2308.719721
24	2277.578812
25	2277.577923
26	2255.823368
27	2255.811166
28	2255.809519
29	2255.808506
30	2255.80825
31	2255.808185
32	2238.024551
33	2237.99526
34	2237.993366
35	2217.627198
36	2198.70902
37	2195.284156
38	2195.284133
39	2195.280412
40	2167.412186
41	2160.57939
42	2155.057031
43	2155.027575
44	2133.012353
45	2131.899362
46	2094.350019
47	2074.983978
48	2051.374141
49	2042.836209
50	2024.26045
51	2021.383587
52	2012.720376
53	2009.65243
54	2002.549879
55	1999.153926
56	1958.623804
57	1945.89603
58	1936.378347
59	1931.168113
60	1928.050346
61	1926.13868
62	1919.486215
63	1901.966772
64	1899.549266
65	1899.549218
66	1899.549206
67	1899.549203
68	1887.791631
69	1885.815357
70	1883.089712
71	1883.013038
72	1863.565021
73	1857.495623
74	1857.330329
75	1856.727304
76	1853.480635
77	1842.369308
78	1828.596676
79	1812.027485
80	1792.028633
81	1786.255547
82	1786.255409
83	1772.534386
84	1765.066626
85	1764.782954
86	1763.461103
87	1760.425047
88	1748.926657
89	1746.949414
90	1744.977641
91	1743.89787
92	1739.526992
93	1739.465567
94	1737.556813
95	1737.482883
96	1737.482881
97	1728.140926
98	1727.750565
99	1725.929543
100	1718.674225
101	1717.22499
102	1715.80268
103	1711.052273
104	1711.043539
105	1711.042446
106	1711.042437
107	1703.561815
108	1703.265685
109	1699.65346
110	1693.438625
111	1693.172082
112	1693.171562
113	1692.482947
114	1691.059713
115	1691.049628
116	1690.347049
117	1687.468231
118	1687.157656
119	1687.017585
120	1687.013385
121	1687.012333
122	1687.01207
123	1686.245084
124	1677.903859
125	1677.900873
126	1677.784532
127	1677.774794
128	1677.170988
129	1669.82118
130	1669.320193
131	1668.572343
132	1668.463878
133	1659.964849
134	1659.753026
135	1659.752726
136	1658.538157
137	1658.538122
138	1658.220681
139	1658.199096
140	1653.659789
141	1653.654639
142	1649.979373
143	1649.977618
144	1638.810944
145	1633.799231
146	1633.798379
147	1633.688884
148	1633.642853
149	1633.285591
150	1616.986679
151	1616.852146
152	1608.307602
153	1608.145191
154	1602.012549
155	1597.871237
156	1593.95957
157	1593.95296
158	1593.918346
159	1592.21333
160	1582.330301
161	1582.307154
162	1582.278848
163	1581.469548
164	1574.361485
165	1563.089434
166	1558.953303
167	1555.888133
168	1555.747854
169	1555.297186
170	1554.33915
171	1548.079109
172	1543.940484
173	1543.023378
174	1540.036255
175	1538.058479
176	1537.398422
177	1536.85791
178	1536.630436
179	1534.184136
180	1534.086336
181	1529.788932
182	1525.482255
183	1524.292543
184	1522.911265
185	1521.606573
186	1521.606546
187	1520.770122
188	1512.182768
189	1512.027604
190	1510.540032
191	1507.94645
192	1507.929469
193	1507.820503
194	1507.359324
195	1507.351569
196	1507.33343
197	1507.324544
198	1497.038762
199	1496.46421
200	1495.903799
201	1495.514435
202	1494.930087
203	1494.89189
204	1494.881201
205	1493.705487
206	1493.70149
207	1493.68842
208	1492.695853
209	1481.360421
210	1481.345093
211	1477.151861
212	1476.618947
213	1476.529409
214	1475.723855
215	1471.240168
216	1465.37443
217	1463.445467
218	1458.575813
219	1452.763663
220	1452.702098
221	1452.584321
222	1450.650476
223	1449.848427
224	1449.812688
225	1449.384854
226	1448.855027
227	1448.558025
228	1446.482612
229	1446.123405
230	1446.10665
231	1444.478701
232	1439.842835
233	1439.842306
234	1439.003657
235	1438.956036
236	1438.953421
237	1438.953403
238	1438.342777
239	1438.221233
240	1438.172084
241	1438.161871
242	1438.140941
243	1438.137571
244	1436.542487
245	1436.283962
246	1432.075893
247	1431.720185
248	1431.320865
249	1430.9274
250	1430.536152
251	1430.49145
252	1429.240565
253	1429.198029
254	1428.626769
255	1428.626366
256	1428.582018
257	1428.466861
258	1427.230997
259	1426.625393
260	1424.719466
261	1423.773264
262	1422.819491
263	1422.757595
264	1422.713381
265	1422.303422
266	1421.407764
267	1418.145565
268	1418.137559
269	1411.506616
270	1411.308448
271	1411.200739
272	1410.07164
273	1410.07001
274	1406.94396
275	1406.821147
276	1406.814885
277	1406.668225
278	1406.389873
279	1406.151913
280	1406.124142
281	1406.082386
282	1405.926826
283	1405.810589
284	1405.497385
285	1403.923251
286	1403.922821
287	1402.6337
288	1402.266944
289	1402.130671
290	1402.112844
291	1402.11283
292	1400.249471
293	1399.414668
294	1398.701033
295	1395.669201
296	1395.655564
297	1395.629106
298	1394.358292
299	1393.503373
300	1393.455313
301	1386.499989
302	1386.478499
303	1386.283091
304	1385.829705
305	1385.610449
306	1383.12285
307	1382.999925
308	1382.524765
309	1382.246007
310	1382.232493
311	1382.211159
312	1382.175986
313	1382.171982
314	1382.164549
315	1381.868963
316	1381.807437
317	1381.795675
318	1381.399291
319	1381.392693
320	1380.037208
321	1378.103197
322	1375.975095
323	1375.874872
324	1371.610977
325	1371.508945
326	1370.925476
327	1370.910047
328	1370.755533
329	1370.542533
330	1369.16892
331	1369.127507
332	1362.121415
333	1361.034381
334	1360.704312
335	1358.111554
336	1357.459007
337	1357.377773
338	1357.316056
339	1357.269116
340	1357.244541
341	1357.229058
342	1357.199133
343	1356.137078
344	1353.803701
345	1351.788888
346	1351.087624
347	1351.070563
348	1351.004199
349	1350.851001
350	1350.776179
351	1350.769125
352	1349.61405
353	1349.59237
354	1346.720517
355	1345.721271
356	1342.306678
357	1341.585542
358	1339.181765
359	1339.125338
360	1339.12529
361	1338.829356
362	1338.37321
363	1337.423951
364	1337.309537
365	1328.892839
366	1328.333205
367	1327.465186
368	1327.395801
369	1327.077661
370	1326.087381
371	1321.452565
372	1317.881897
373	1317.326085
374	1317.188195
375	1317.057207
376	1317.051466
377	1317.042957
378	1316.78352
379	1316.145751
380	1316.107481
381	1306.931495
382	1306.906158
383	1305.738945
384	1305.648042
385	1305.522093
386	1305.497389
387	1282.073471
388	1282.01063
389	1281.91625
390	1281.750053
391	1281.718606
392	1281.606942
393	1281.583322
394	1281.575853
395	1281.507398
396	1281.066877
397	1279.740895
398	1278.970291
399	1278.396443
400	1278.355942
401	1277.02714
402	1275.805403
