iter	Passed	Remaining
0	17	8485
1	130	32517
2	135	22371
3	243	30173
4	336	33321
5	442	36463
6	542	38233
7	552	33966
8	662	36168
9	753	36935
10	770	34236
11	773	31451
12	860	32239
13	957	33243
14	963	31166
15	1055	31914
16	1064	30256
17	1068	28611
18	1071	27118
19	1073	25771
20	1080	24636
21	1089	23661
22	1093	22671
23	1097	21769
24	1201	22834
25	1205	21974
26	1297	22727
27	1301	21943
28	1305	21203
29	1308	20499
30	1311	19840
31	1314	19221
32	1427	20202
33	1432	19629
34	1435	19075
35	1534	19775
36	1629	20385
37	1721	20930
38	1725	20392
39	1728	19880
40	1822	20405
41	1937	21129
42	2033	21614
43	2040	21143
44	2143	21674
45	2250	22212
46	2363	22778
47	2470	23259
48	2567	23629
49	2675	24079
50	2781	24485
51	2874	24761
52	2968	25037
53	3080	25445
54	3170	25650
55	3264	25880
56	3372	26213
57	3485	26562
58	3596	26885
59	3688	27049
60	3781	27216
61	3874	27373
62	3967	27522
63	4066	27700
64	4158	27829
65	4161	27363
66	4164	26911
67	4166	26472
68	4259	26608
69	4371	26851
70	4481	27080
71	4490	26692
72	4582	26807
73	4673	26902
74	4763	26994
75	4867	27155
76	4958	27241
77	5055	27351
78	5171	27557
79	5263	27632
80	5367	27765
81	5458	27824
82	5462	27442
83	5563	27554
84	5656	27617
85	5681	27350
86	5785	27463
87	5878	27521
88	5969	27566
89	6075	27676
90	6167	27718
91	6278	27844
92	6373	27893
93	6429	27771
94	6520	27796
95	6549	27563
96	6553	27226
97	6649	27276
98	6758	27375
99	6862	27449
100	6977	27563
101	7085	27646
102	7188	27706
103	7299	27794
104	7308	27492
105	7312	27180
106	7315	26868
107	7420	26933
108	7511	26943
109	7620	27016
110	7720	27055
111	7750	26851
112	7754	26556
113	7853	26591
114	7944	26595
115	7952	26326
116	8067	26407
117	8160	26417
118	8259	26444
119	8271	26191
120	8275	25920
121	8280	25656
122	8285	25394
123	8429	25561
124	8567	25703
125	8575	25454
126	8670	25465
127	8687	25247
128	8784	25262
129	8876	25263
130	8970	25268
131	9094	25355
132	9136	25210
133	9269	25317
134	9407	25434
135	9410	25187
136	9516	25214
137	9520	24973
138	9672	25120
139	9708	24964
140	9863	25114
141	9870	24884
142	10059	25113
143	10070	24896
144	10204	24984
145	10321	25025
146	10324	24793
147	10332	24575
148	10446	24609
149	10550	24616
150	10642	24597
151	10733	24573
152	10835	24575
153	10944	24588
154	11058	24614
155	11162	24614
156	11268	24617
157	11279	24414
158	11287	24208
159	11393	24211
160	11501	24217
161	11533	24064
162	11629	24043
163	11734	24041
164	11843	24046
165	11937	24018
166	12031	23991
167	12125	23963
168	12221	23937
169	12324	23924
170	12418	23893
171	12519	23875
172	12618	23850
173	12716	23825
174	12814	23798
175	12903	23754
176	13021	23763
177	13112	23719
178	13203	23677
179	13325	23690
180	13353	23535
181	13449	23499
182	13552	23475
183	13653	23448
184	13746	23406
185	13862	23401
186	13865	23208
187	13972	23188
188	14071	23154
189	14176	23130
190	14288	23116
191	14398	23097
192	14407	22917
193	14515	22895
194	14616	22861
195	14632	22694
196	14742	22675
197	14803	22579
198	14902	22541
199	15020	22531
200	15116	22486
201	15216	22447
202	15318	22411
203	15333	22248
204	15347	22085
205	15440	22036
206	15466	21892
207	15568	21855
208	15684	21837
209	15800	21820
210	15817	21665
211	15908	21611
212	16001	21560
213	16137	21567
214	16245	21534
215	16352	21500
216	16458	21464
217	16560	21422
218	16663	21381
219	16771	21345
220	16788	21194
221	16879	21137
222	16986	21100
223	17111	21084
224	17207	21031
225	17322	21001
226	17420	20950
227	17515	20895
228	17622	20854
229	17726	20809
230	17739	20658
231	17829	20596
232	17923	20539
233	17938	20392
234	18034	20336
235	18131	20282
236	18145	20135
237	18149	19980
238	18246	19925
239	18362	19893
240	18387	19760
241	18411	19628
242	18521	19588
243	18545	19457
244	18667	19429
245	18778	19388
246	18892	19351
247	18998	19304
248	19088	19242
249	19204	19204
250	19313	19159
251	19421	19113
252	19538	19074
253	19552	18937
254	19649	18878
255	19653	18732
256	19678	18606
257	19778	18552
258	19898	18515
259	20006	18467
260	20115	18419
261	20234	18381
262	20333	18323
263	20425	18258
264	20473	18155
265	20577	18101
266	20686	18051
267	20811	18016
268	20836	17893
269	20943	17840
270	21040	17779
271	21134	17715
272	21236	17657
273	21240	17519
274	21345	17464
275	21458	17415
276	21510	17317
277	21603	17251
278	21704	17192
279	21811	17137
280	21909	17075
281	21998	17006
282	22111	16954
283	22215	16896
284	22334	16848
285	22490	16828
286	22500	16698
287	22608	16642
288	22713	16583
289	22804	16513
290	22900	16447
291	22905	16315
292	23011	16257
293	23124	16202
294	23222	16137
295	23318	16070
296	23373	15975
297	23470	15909
298	23563	15840
299	23664	15776
300	23754	15705
301	23850	15637
302	23941	15566
303	24050	15506
304	24159	15446
305	24252	15376
306	24376	15324
307	24467	15252
308	24559	15180
309	24660	15114
310	24769	15052
311	24870	14985
312	24982	14925
313	24996	14806
314	25088	14734
315	25197	14671
316	25291	14600
317	25409	14542
318	25505	14471
319	25629	14416
320	25743	14355
321	25837	14282
322	25945	14217
323	26042	14146
324	26138	14074
325	26235	14002
326	26327	13928
327	26424	13856
328	26519	13783
329	26626	13716
330	26720	13642
331	26750	13536
332	26872	13476
333	26964	13401
334	27058	13327
335	27162	13257
336	27252	13181
337	27342	13104
338	27442	13033
339	27531	12955
340	27639	12887
341	27750	12820
342	27872	12758
343	27967	12682
344	28077	12614
345	28170	12538
346	28265	12463
347	28363	12388
348	28453	12310
349	28557	12238
350	28656	12164
351	28744	12085
352	28856	12016
353	28964	11945
354	29070	11873
355	29168	11798
356	29273	11725
357	29370	11649
358	29484	11580
359	29576	11501
360	29580	11389
361	29688	11317
362	29787	11242
363	29897	11170
364	29988	11091
365	30089	11016
366	30198	10943
367	30294	10866
368	30406	10794
369	30498	10715
370	30600	10640
371	30721	10570
372	30835	10498
373	30927	10419
374	31016	10338
375	31116	10261
376	31130	10156
377	31221	10076
378	31324	10000
379	31425	9923
380	31526	9846
381	31622	9768
382	31715	9688
383	31808	9608
384	31912	9532
385	32017	9455
386	32115	9377
387	32233	9304
388	32335	9226
389	32430	9146
390	32523	9066
391	32626	8988
392	32722	8909
393	32772	8816
394	32861	8735
395	32971	8659
396	33063	8578
397	33165	8499
398	33271	8422
399	33381	8345
400	33427	8252
401	33516	8170
402	33623	8092
403	33719	8012
404	33818	7932
405	33912	7851
406	34015	7772
407	34119	7693
408	34232	7616
409	34328	7535
410	34449	7459
411	34543	7378
412	34654	7300
413	34750	7218
414	34843	7136
415	34962	7059
416	35079	6982
417	35193	6904
418	35285	6821
419	35382	6739
420	35509	6663
421	35643	6588
422	35757	6508
423	35887	6432
424	36010	6354
425	36141	6278
426	36280	6202
427	36343	6113
428	36452	6032
429	36583	5955
430	36679	5872
431	36776	5788
432	36891	5708
433	37008	5628
434	37118	5546
435	37217	5463
436	37317	5379
437	37437	5299
438	37553	5218
439	37665	5136
440	37767	5052
441	37888	4971
442	37989	4888
443	38085	4803
444	38198	4721
445	38322	4639
446	38423	4555
447	38528	4472
448	38644	4389
449	38755	4306
450	38852	4221
451	38954	4136
452	39050	4051
453	39059	3957
454	39157	3872
455	39261	3788
456	39364	3703
457	39491	3621
458	39599	3537
459	39708	3452
460	39802	3367
461	39856	3278
462	39966	3193
463	40063	3108
464	40168	3023
465	40266	2937
466	40366	2852
467	40466	2766
468	40577	2682
469	40690	2597
470	40781	2510
471	40878	2424
472	40881	2333
473	40979	2247
474	41088	2162
475	41181	2076
476	41284	1990
477	41291	1900
478	41392	1814
479	41493	1728
480	41593	1642
481	41688	1556
482	41697	1467
483	41794	1381
484	41900	1295
485	42015	1210
486	42115	1124
487	42209	1037
488	42316	951
489	42411	865
490	42510	779
491	42612	692
492	42703	606
493	42802	519
494	42898	433
495	42990	346
496	43081	260
497	43190	173
498	43282	86
499	43391	0
